grid_i,lat,lon,breadcrumb_count,n_routes
49046,41.951701187717845,-73.82061261256455,280748.0,1467
49346,41.95499685246076,-73.80608681709339,84770.0,593
46643,41.91130605834453,-73.92427693801241,69998.0,573
46943,41.91707472288687,-73.91342322970952,70062.0,822
46944,41.92661629053122,-73.91130864503104,280648.0,1578
47244,41.924547384163176,-73.90166435709202,218731.0,1369
40326,41.68515854711276,-74.2099885867836,127356.0,892
40327,41.69605526721085,-74.20697365091127,52185.0,714
43651,42.019873642891,-74.06009663665077,23653.0,164
43652,42.03761805480239,-74.0628530477604,4175.0,275
40627,41.69900241306706,-74.19320225880897,86400.0,724
47255,42.0731510039508,-73.89653780521566,23084.0,325
45144,41.92532715432608,-73.99403788092962,90244.0,407
46928,41.71488727370159,-73.91367056711738,342720.0,1817
41553,42.04544796440853,-74.15468940297477,295877.0,1042
41554,42.0577083466112,-74.15826935432344,113093.0,759
41852,42.03273468756179,-74.1420811111824,25084.0,130
41853,42.04459811453715,-74.14036658844634,193056.0,949
42428,41.714358260134716,-74.11499191757919,95311.0,520
42429,41.724824581169024,-74.11260923525371,89236.0,1000
31061,42.15407050107741,-74.62101138922071,53835.0,199
31062,42.165321758578045,-74.61929102120111,24994.0,141
31063,42.175815225373135,-74.62316609621894,3015.0,12
31362,42.169633618933254,-74.61268889151879,10199.0,67
30763,42.18410329621365,-74.63245154672072,1479.0,6
38852,42.034781548394285,-74.27292292183097,84572.0,607
43941,41.88782433932897,-74.04856478601698,83272.0,452
43942,41.89729841258699,-74.04448055901483,52602.0,332
44242,41.90140812929282,-74.03504878369273,51627.0,364
39122,41.635704994941634,-74.26055401118766,203545.0,790
39123,41.644706591926635,-74.25905975445504,352806.0,1043
39423,41.64291082524161,-74.24736590010441,260179.0,865
39723,41.64608429634246,-74.23459345709541,134736.0,574
46642,41.900827547754496,-73.93027338174595,72477.0,569
43337,41.83153312927881,-74.07550968680937,289663.0,1912
43637,41.83307245077913,-74.06153167605214,34333.0,230
31641,41.88661097019006,-74.59261211277253,22885.0,123
31941,41.89176272679399,-74.5872106927236,4975.0,122
31942,41.89993102840558,-74.58045519642415,19380.0,117
31943,41.91052718510471,-74.57581073508496,2531.0,120
32243,41.9159198684306,-74.5713100233081,27514.0,176
43947,41.96863076474172,-74.04537246795847,201195.0,198
43948,41.977547853789005,-74.04943659543927,124018.0,212
32244,41.920556733343034,-74.5682355198716,6859.0,172
32544,41.9247203104436,-74.55600416188555,21257.0,118
45438,41.84673435060605,-73.98189718772012,6930.0,64
45743,41.91292767131196,-73.96588880767551,1837.0,12
45744,41.92716553379678,-73.96738526600342,23520.0,84
46042,41.901566134081264,-73.94741284398312,117070.0,879
46043,41.91347514647486,-73.95036114036117,142959.0,888
46044,41.922548947047616,-73.94974347776791,79817.0,891
38527,41.70251577158618,-74.28804993438926,161594.0,417
38528,41.70990332895947,-74.28527962553196,180311.0,420
38828,41.71256671902933,-74.27547399267914,90166.0,406
39128,41.71029425633764,-74.2584573075251,44212.0,400
39129,41.722977352757184,-74.25990971975453,71467.0,323
39429,41.72737658626939,-74.2484652898198,63908.0,408
48745,41.943260310295514,-73.83061281105562,121984.0,858
49045,41.93839844351675,-73.81939813926041,96372.0,621
29546,41.95635085946931,-74.69052758467653,6030.0,17
29547,41.96407907289984,-74.68897731229002,3214.0,11
29847,41.96338571886918,-74.67683721590105,1415.0,4
30146,41.95693659799907,-74.66312705972298,1949.0,4
30147,41.95989964166667,-74.66882064166666,12.0,3
30446,41.95286314322032,-74.6482661659806,826.0,2
30746,41.949780054421566,-74.63376727850427,6411.0,12
31046,41.95296104987671,-74.62139936565578,4056.0,9
31346,41.9518783846103,-74.60928646515856,3028.0,9
31645,41.93996284779007,-74.59358207813429,4706.0,34
31646,41.950133606857676,-74.59788609394079,2129.0,9
31945,41.938420444086994,-74.57827339805571,19956.0,141
42131,41.750480987991956,-74.12566847703805,237134.0,1302
42431,41.752780188685946,-74.11342104123932,184612.0,1688
40974,42.32373962093101,-74.17880387462891,32072.0,215
43343,41.91305821831446,-74.07420426053821,89028.0,301
43344,41.92775879072987,-74.07286198878099,135715.0,925
43645,41.94087225435405,-74.05928787560447,28743.0,291
46933,41.77892603669446,-73.91307428294776,31081.0,168
45130,41.73654383403805,-73.99307824148644,310365.0,2030
45430,41.735362116748284,-73.97935036605844,370884.0,2093
41831,41.75387310467519,-74.14078326934262,466524.0,765
41832,41.76495562059964,-74.14169283885575,328525.0,667
42132,41.76698835613001,-74.1242640535265,135824.0,815
42740,41.872181214857086,-74.09856219778234,92717.0,351
42741,41.88229527203402,-74.0951140044588,29021.0,260
43041,41.88665947368243,-74.0873183893049,98037.0,619
43042,41.8990266901901,-74.08478229027712,79287.0,260
43342,41.89978243986857,-74.0737162787313,50210.0,561
38227,41.702299704283945,-74.29808644610915,92997.0,255
38829,41.72058623436549,-74.27148189280393,24027.0,182
44868,42.24686916652612,-74.0087996862087,71596.0,373
42135,41.807272379437535,-74.12883140808817,80438.0,606
42136,41.82074993338992,-74.12899098042497,123178.0,942
42436,41.81973002428429,-74.11594091292727,67517.0,418
42437,41.831856177864715,-74.11170288509034,154116.0,894
42737,41.82904511048737,-74.09891124704686,48983.0,978
42738,41.84510946237203,-74.10110619956426,144847.0,1186
43338,41.845413362769605,-74.07454535377911,128046.0,870
38827,41.70117100209658,-74.27391715306014,217402.0,388
38850,42.005346667858326,-74.27091264199358,130270.0,786
39148,41.9817445428786,-74.2592435281661,64503.0,298
39149,41.9934109594267,-74.2629175021839,55544.0,380
39150,42.00526655745544,-74.2655798830039,72228.0,670
43039,41.85808218055729,-74.08553875232343,257367.0,1213
43339,41.86294150896703,-74.07587731470902,57176.0,504
45741,41.887431979322955,-73.96397534958287,22774.0,179
45742,41.89679877269584,-73.96879086668898,17913.0,179
46041,41.8836034355722,-73.95747671588465,17092.0,177
41527,41.697059654387644,-74.1510061531662,3111.0,23
42126,41.68879156952715,-74.12841766071382,7761.0,87
42127,41.70219920883738,-74.12746783803676,97745.0,789
46032,41.76824332415732,-73.95457484775281,534.0,5
38563,42.187064210303035,-74.28157565939395,165.0,12
38564,42.18958981720629,-74.28923164458836,2162.0,18
38863,42.183943231874764,-74.27320073139302,2491.0,13
38864,42.189863231636366,-74.26867611854544,275.0,3
39164,42.19224620336137,-74.26165209817927,714.0,2
39464,42.19088887835207,-74.24539138359553,1335.0,2
39764,42.18885378050378,-74.2402384282584,913.0,1
42735,41.807156116278826,-74.0986112653851,26685.0,79
42736,41.822959857512835,-74.10052740185165,89001.0,378
43035,41.80548373667088,-74.08525827980348,339204.0,2108
37938,41.846737942091636,-74.31046930834279,19334.0,70
38238,41.845287398086406,-74.30193603486417,35796.0,108
43332,41.76784266636853,-74.07733987444861,53774.0,453
43631,41.75251855496568,-74.06239966333487,32906.0,600
43632,41.76520906578558,-74.05789703747405,35219.0,195
48746,41.94792537261855,-73.8320712276244,218082.0,1292
46645,41.93930689412505,-73.92773293282595,256160.0,1258
45727,41.69853357847709,-73.96796017527411,8024.0,64
41833,41.779265191601944,-74.13806882854702,358584.0,1183
40672,42.29924217192475,-74.19303698899549,99105.0,246
40972,42.30330449475775,-74.18079309721166,118881.0,118
41272,42.30190912479421,-74.1704305004348,12878.0,41
40934,41.79260533768733,-74.17834764023414,129293.0,819
41234,41.79241597274703,-74.16712008853516,116732.0,1123
41235,41.803022499652975,-74.1668276254783,52735.0,559
41534,41.79288240327865,-74.15386869706441,125360.0,786
41535,41.80547913194804,-74.15289982260592,101925.0,786
45437,41.835137646157676,-73.97909090101047,8016.0,19
45737,41.83096039140445,-73.96686585729066,23489.0,157
46337,41.83288269143576,-73.93545193637003,25268.0,223
46338,41.84431636253022,-73.93822769891233,13240.0,58
46638,41.84553429870319,-73.92745511979209,41178.0,267
44846,41.952378285535964,-74.00750273493678,6008.0,15
43033,41.77880656677557,-74.08946507057729,419388.0,2339
43034,41.79251191537585,-74.08818066988779,357686.0,2124
42134,41.791010156939045,-74.12789869053046,310274.0,969
42434,41.79377070640603,-74.11841730199565,35779.0,180
42435,41.804128615347004,-74.1130080104827,19222.0,60
39428,41.712221938291684,-74.24666520232644,141976.0,350
39728,41.713422063136164,-74.2368568328975,48104.0,300
40030,41.736209887585225,-74.2199525058002,253142.0,936
42133,41.77887676106343,-74.12788484742612,293082.0,1051
38247,41.965627373950866,-74.30161547696153,76828.0,376
38547,41.966599863088256,-74.28692634919453,85168.0,429
38847,41.96632409999773,-74.27581018163855,130660.0,784
38848,41.98040896814968,-74.27623169075478,116721.0,639
41850,42.0054794250527,-74.13950956391659,156534.0,514
42149,41.99959381901602,-74.12145532766809,6484.0,152
42150,42.00166972294922,-74.12767632363628,57784.0,354
42449,41.997485171948696,-74.1133624101315,57188.0,312
42749,41.995776543232246,-74.10028053994684,87016.0,407
43647,41.969568919158604,-74.05928664220356,185316.0,286
43648,41.976244070903505,-74.06299600220977,54711.0,137
43059,42.132047285763214,-74.0833714327743,52224.0,350
43359,42.12795459334614,-74.07265388150704,198923.0,341
43658,42.11755691305983,-74.05853169438082,120017.0,362
43659,42.12248709573004,-74.06463021830432,67705.0,343
43958,42.11260606646676,-74.04810478438074,170028.0,774
